PUF_ID,HEALTH,SWB_1,SWB_2,SWB_3,FWBscore,FWB1_1,FWB1_2,FWB1_4,FWB2_2,FSscore,ACT1_2,FINGOALS,CHANGEABLE,GOALCONF,EARNERS,VOLATILITY,SNAP,MATHARDSHIP_1,MATHARDSHIP_2,MATHARDSHIP_4,MATHARDSHIP_5,BENEFITS_1,CONNECT,DISTRESS,SELFCONTROL_2,SELFCONTROL_3,OUTLOOK_2,PEM,HOUSESAT,LIFEEXPECT,HHEDUC,PPINCIMP,PPREG4,PPREG9,fpl,agecat,generation,PPGENDER,PPMARIT,PPETHM
11226,0,6,7,6,77,4,4,4,5,57,4,1,2,4,1,1,0,1,1,1,1,0,100,2,3,3,3,6,4,-2,2,2,1,2,2,8,1,1,1,1
13232,0,6,6,4,67,4,4,4,5,62,5,1,1,4,2,1,0,1,1,1,1,1,100,3,3,3,3,6,3,50,4,8,3,7,3,6,2,1,1,1
11925,0,5,4,5,40,2,2,1,2,32,2,1,4,2,2,1,0,1,1,1,1,1,85,4,3,2,4,3,3,87,5,8,1,1,3,4,3,2,1,1
8310,0,6,5,5,61,4,1,4,5,48,4,0,5,4,2,2,0,1,1,1,1,1,90,4,3,4,4,3,3,90,5,8,3,7,3,3,4,2,1,1
11831,0,7,7,7,59,3,4,4,4,59,4,1,5,4,1,2,0,1,1,1,1,1,50,4,4,4,4,5,4,100,2,6,4,9,3,2,4,2,1,1
9436,1,1,3,5,16,1,2,1,1,39,3,1,3,2,1,1,0,2,1,2,1,1,80,5,3,3,3,5,4,85,3,4,1,1,3,4,2,1,3,1
12015,1,6,5,2,66,4,3,4,4,47,4,1,5,4,1,1,0,1,1,1,1,0,90,2,3,3,3,6,4,90,3,5,4,8,3,6,2,1,3,1
12780,1,6,6,7,57,3,3,3,5,44,3,1,3,3,2,2,0,1,1,1,1,1,85,3,2,3,5,3,4,50,5,9,2,4,3,6,2,1,1,1
8950,0,6,5,6,58,3,4,4,5,67,4,1,1,4,1,1,0,1,1,1,1,1,90,3,3,3,4,7,4,80,5,6,1,1,3,5,2,1,1,1
11227,1,7,7,6,64,1,1,4,2,82,4,1,1,4,1,1,0,1,3,1,3,0,80,2,4,3,1,5,4,100,3,1,3,6,2,6,2,2,3,1
9437,1,7,6,6,63,4,4,4,4,52,4,1,2,3,2,1,0,1,1,1,1,1,80,4,2,4,5,5,4,75,5,9,4,9,3,4,3,2,1,1
10554,0,7,-1,-1,55,4,4,4,3,49,4,1,5,4,1,1,0,1,1,1,1,1,98,4,3,3,5,3,4,90,3,7,2,3,3,5,2,1,1,1
10132,0,6,6,1,66,4,4,4,3,46,3,1,5,3,2,1,0,1,1,1,1,1,0,3,2,4,3,5,4,100,5,7,3,7,3,4,2,2,1,4
11083,1,3,4,3,38,1,2,2,1,40,4,0,3,2,3,2,0,2,3,1,1,0,50,3,2,3,3,6,3,60,1,2,4,9,1,6,2,2,2,1
7380,1,6,6,5,70,5,5,4,5,56,4,1,5,4,1,2,0,1,1,1,1,1,80,3,3,4,4,3,4,45,5,8,3,7,3,2,4,1,1,1
8520,1,5,5,5,38,1,2,2,1,25,2,0,4,2,3,3,1,3,3,3,3,0,50,4,3,3,2,3,2,50,4,7,3,5,3,2,4,2,1,1
12752,1,5,6,7,55,2,3,4,2,58,5,1,7,3,3,3,8,1,2,1,2,1,100,4,3,3,4,7,3,100,2,1,2,3,1,1,4,2,4,2
10760,1,6,5,1,64,4,2,4,5,51,4,0,3,3,2,1,0,1,1,1,1,1,95,2,3,2,1,2,4,65,3,6,3,5,3,7,1,2,1,1
12235,0,5,6,5,55,3,3,4,4,49,4,1,2,4,2,1,0,1,1,1,1,1,4,2,4,4,4,3,4,90,5,8,4,9,3,2,4,2,1,1
9438,0,7,6,6,70,4,4,4,5,57,4,0,5,4,2,2,0,1,1,1,1,1,85,3,4,4,3,5,4,90,3,8,1,2,3,7,1,1,1,1
7316,0,7,7,7,62,5,5,5,5,70,5,1,5,4,1,1,0,1,1,1,1,1,100,3,4,4,5,5,3,50,3,9,3,5,3,1,4,2,5,1
12354,0,5,5,5,52,2,3,3,2,44,3,1,5,3,2,2,0,1,1,1,1,1,100,2,4,3,4,6,4,82,2,8,1,2,3,5,2,2,1,1
12640,0,7,6,5,60,4,4,4,4,47,3,0,5,3,-1,1,0,1,1,1,1,1,90,2,2,3,2,7,4,-2,2,3,4,8,3,8,1,1,2,1
8716,0,6,7,7,53,4,4,4,3,66,4,1,5,4,1,1,0,1,1,1,1,1,90,3,4,4,5,5,4,99,5,9,4,8,3,4,3,1,1,1
12299,0,7,7,7,78,5,5,5,5,69,5,1,6,4,2,2,0,1,1,1,1,1,100,3,4,4,5,6,4,-2,5,7,3,7,3,8,1,1,1,4
8311,0,6,6,7,70,4,4,5,5,69,5,1,2,4,2,1,0,1,1,1,1,1,75,2,3,4,4,5,4,80,5,9,4,9,3,2,4,1,4,1
13637,1,6,5,6,41,1,2,3,2,41,3,1,2,2,3,2,1,3,3,3,2,0,70,4,2,2,4,3,3,70,3,1,2,4,1,1,4,2,5,3
8951,0,7,7,7,59,3,3,3,4,70,4,1,1,4,1,1,0,1,1,1,1,0,100,1,3,4,5,1,4,100,3,1,3,6,2,4,3,2,3,2
9185,1,5,4,4,47,2,3,3,2,41,3,1,5,2,2,1,0,2,2,2,3,1,40,3,2,3,3,3,3,2,2,3,3,7,2,6,2,1,1,1
13478,0,6,7,7,60,4,5,4,5,60,4,1,6,4,2,2,0,1,1,1,1,1,80,3,3,3,5,6,4,-2,5,7,1,2,3,8,1,1,1,1
9439,0,5,6,6,75,5,5,5,5,80,5,1,1,4,2,1,0,1,1,1,1,1,70,2,4,4,5,2,2,75,4,8,1,2,3,1,4,1,1,1
9917,1,6,6,4,57,4,3,4,4,49,3,0,2,3,2,1,0,1,1,1,1,1,100,4,3,3,1,1,3,90,3,7,4,9,3,6,2,1,1,1
8717,0,7,7,4,60,4,4,4,3,52,4,1,5,3,2,1,0,1,1,1,1,1,100,4,3,3,4,6,4,100,4,6,1,1,3,7,1,2,1,1
9186,0,7,7,6,62,5,4,5,5,58,4,1,2,4,2,1,0,1,1,1,1,1,85,2,4,4,5,2,4,95,5,8,2,3,3,4,2,1,1,1
10761,0,6,6,4,64,4,4,5,5,54,4,1,2,4,1,1,0,1,1,1,1,0,95,3,3,4,1,6,3,100,5,3,4,8,3,7,1,2,2,1
9689,1,4,1,1,19,1,1,4,1,68,4,1,4,1,2,1,0,2,1,2,3,0,90,4,3,3,1,2,1,90,4,6,2,3,3,7,1,2,1,1
9440,0,4,7,7,68,5,4,5,5,66,4,1,5,4,2,1,0,1,1,1,1,0,75,4,3,4,5,7,3,100,4,2,3,5,2,2,4,2,1,2
8952,1,3,5,6,48,2,2,3,3,39,3,0,5,3,2,1,1,1,1,1,1,1,-1,4,3,3,3,3,3,-2,1,3,3,5,3,8,1,2,3,4
13656,0,5,5,4,59,3,2,3,5,56,4,1,2,3,2,1,0,1,1,1,1,1,90,4,3,3,3,3,2,50,4,6,1,1,3,2,4,2,1,1
13367,1,5,5,6,49,3,3,3,3,42,3,1,4,3,3,2,0,1,1,1,1,1,0,4,3,3,4,6,3,79,4,7,2,4,3,1,4,2,4,1
12935,1,3,2,4,44,3,2,2,3,33,3,0,4,2,2,1,0,1,1,1,1,1,95,3,2,2,3,2,2,5,3,6,2,4,3,4,2,1,1,1
7382,1,7,7,7,77,5,5,5,5,85,5,0,3,4,2,1,0,1,1,1,1,0,100,1,2,4,5,7,4,100,2,3,1,1,2,3,3,1,1,1
12300,0,7,6,4,63,4,3,3,4,56,3,1,6,4,2,2,0,1,1,1,1,0,90,2,3,3,2,3,3,95,5,4,3,5,3,7,1,2,1,1
12753,0,5,6,6,52,3,4,3,3,58,3,1,5,3,2,1,0,1,1,1,1,1,85,2,2,4,3,6,3,95,5,8,1,2,3,4,3,1,5,1
11832,1,6,7,4,79,5,5,5,5,67,5,1,2,4,2,1,0,1,1,1,1,1,85,3,3,4,4,1,4,50,4,7,3,5,3,5,2,1,1,1
13051,1,6,5,6,59,4,2,4,3,53,4,1,2,3,1,1,0,1,1,1,1,1,33,3,3,2,2,5,3,-2,5,8,3,7,3,8,1,1,1,1
8312,0,7,7,7,79,5,5,4,5,82,5,1,1,4,2,1,0,1,1,1,1,1,80,3,3,4,5,3,4,100,5,9,1,1,3,2,4,1,1,1
14093,0,6,6,6,54,2,2,2,4,50,4,1,2,3,1,1,0,1,1,1,1,1,5,3,2,4,4,5,4,67,4,6,4,9,3,6,2,2,3,1
8521,0,5,4,4,57,3,3,3,4,42,3,1,5,3,1,1,0,1,1,1,1,0,100,3,3,3,2,6,4,-2,2,4,1,1,3,8,1,2,2,1
13953,0,5,5,6,47,1,1,3,2,45,4,0,3,2,1,2,0,1,1,2,2,1,98,1,2,3,4,5,3,25,3,1,3,7,2,1,4,1,5,4
11926,0,7,7,7,84,5,5,5,5,76,5,1,7,4,2,1,0,1,1,1,1,1,100,2,3,4,5,5,4,100,5,7,4,9,3,7,1,1,1,1
9918,1,3,2,1,26,1,3,2,1,38,3,0,5,3,2,3,0,1,2,2,1,1,90,5,2,2,1,5,2,10,3,2,4,9,2,6,2,1,1,1
13330,0,6,6,4,78,4,5,5,4,46,4,0,2,3,1,2,0,1,1,1,1,0,100,2,3,3,1,5,4,-2,2,2,2,3,3,8,1,2,2,1
9919,1,2,3,4,39,1,2,1,1,16,2,0,1,4,2,2,0,1,2,1,1,1,50,3,2,2,2,5,4,0,3,8,4,8,3,3,3,2,1,1
